"Parameter","Model","True_Value","Est_Mean","Bias","SE","MSE","RMSE"
"Alpha","Efficient",0.9,0.9014,0.0014,0.0068,0,0.0069
"Mu0_1","Efficient",0,-0.0959,-0.0959,0.1431,0.0297,0.1722
"Mu0_2","Efficient",0,-0.0924,-0.0924,0.1328,0.0262,0.1617
"Mu1_1","Efficient",2,2.0015,0.0015,0.1422,0.0202,0.1421
"Mu1_2","Efficient",2,1.9989,-0.0011,0.1584,0.0251,0.1583
"Sigma0_11","Efficient",0.8,0.842,0.042,0.3161,0.1016,0.3187
"Sigma0_22","Efficient",0.8,0.8346,0.0346,0.2706,0.0743,0.2726
"Sigma1_11","Efficient",0.5,0.4437,-0.0563,0.1765,0.0343,0.1851
"Sigma1_22","Efficient",0.5,0.4423,-0.0577,0.1588,0.0285,0.1689
"Alpha","Naive",0.9,0.9008,8e-04,0.0169,3e-04,0.0169
"Mu0_1","Naive",0,-0.0325,-0.0325,0.1797,0.0333,0.1825
"Mu0_2","Naive",0,-0.0261,-0.0261,0.175,0.0313,0.1769
"Mu1_1","Naive",2,2.1344,0.1344,0.2211,0.0669,0.2586
"Mu1_2","Naive",2,2.1311,0.1311,0.2095,0.061,0.247
"Sigma0_11","Naive",0.8,1.0248,0.2248,0.5219,0.3227,0.568
"Sigma0_22","Naive",0.8,1.0085,0.2085,0.4871,0.2805,0.5296
"Sigma1_11","Naive",0.5,0.4386,-0.0614,0.2408,0.0617,0.2484
"Sigma1_22","Naive",0.5,0.4422,-0.0578,0.2189,0.0512,0.2263
"Alpha","BBSE",0.9,0.8984,-0.0016,0.0187,4e-04,0.0187
"Mu0_1","BBSE",0,-0.1296,-0.1296,0.2007,0.057,0.2388
"Mu0_2","BBSE",0,-0.1251,-0.1251,0.195,0.0537,0.2317
"Mu1_1","BBSE",2,2.0495,0.0495,0.2165,0.0493,0.222
"Mu1_2","BBSE",2,2.0446,0.0446,0.2062,0.0445,0.2109
"Sigma0_11","BBSE",0.8,0.9875,0.1875,0.5282,0.3139,0.5603
"Sigma0_22","BBSE",0.8,0.9542,0.1542,0.4514,0.2274,0.4768
"Sigma1_11","BBSE",0.5,0.4063,-0.0937,0.2298,0.0616,0.2481
"Sigma1_22","BBSE",0.5,0.4155,-0.0845,0.2552,0.0722,0.2687
"Alpha","RLLS",0.9,0.8983,-0.0017,0.0193,4e-04,0.0194
"Mu0_1","RLLS",0,-0.1266,-0.1266,0.1957,0.0543,0.233
"Mu0_2","RLLS",0,-0.1237,-0.1237,0.1946,0.0531,0.2305
"Mu1_1","RLLS",2,2.0508,0.0508,0.2111,0.0471,0.217
"Mu1_2","RLLS",2,2.0427,0.0427,0.199,0.0414,0.2034
"Sigma0_11","RLLS",0.8,0.9864,0.1864,0.5221,0.307,0.5541
"Sigma0_22","RLLS",0.8,0.9573,0.1573,0.461,0.237,0.4869
"Sigma1_11","RLLS",0.5,0.4062,-0.0938,0.2279,0.0607,0.2463
"Sigma1_22","RLLS",0.5,0.4138,-0.0862,0.248,0.0689,0.2624
